run_label,bins,bin_width_ticks,bin_width_us,dt_min,dt_max,V10_min,V11_min,n_candidate,n_fit_bins,ndf,tau_us,tau_us_err,chi2,reduced_chi2
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,60,500,40,40,207,17,14,1.6416858623839694,0.19369129978741284,19.933483515669977,1.4238202511192841
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,80,500,40,40,1251,21,18,2.0449887739623342,0.11007560726565202,26.203227964908958,1.4557348869393865
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,80,500,40,40,1207,21,18,2.0288718710244615,0.10464218501491251,16.269831269211924,0.903879514956218
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,80,500,40,40,694,21,18,2.037859926735162,0.13746742952663776,19.750765476672896,1.0972647487040499
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,80,500,40,40,160,17,14,2.14639066095014,0.4113323414589518,14.85741796004905,1.0612441400035035
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,80,500,40,40,38,11,8,1.5280017158751713,0.800399117857181,3.2132586704134893,0.40165733380168617
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,80,500,40,40,166,16,13,1.4747879258651342,0.19687215829717727,17.10064232894995,1.3154340253038421
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,100,500,40,40,973,20,17,2.172080172603868,0.1481655587192114,23.759394955594566,1.3976114679761509
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,100,500,40,40,958,20,17,1.9833196004914528,0.12236316082156734,15.891916653685461,0.9348186266873801
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,100,500,40,40,562,20,17,1.955060425043345,0.15104373506732027,16.517055969414592,0.971591527612623
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,100,500,40,40,129,16,13,2.230056031467298,0.5323636948931719,14.761712383845298,1.135516337218869
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,100,500,40,40,29,10,7,1.630615703343391,1.1354063546671822,3.1655548017589576,0.45222211453699396
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,100,500,40,40,134,15,12,1.1452094254610758,0.1717890315707956,9.364969830017468,0.7804141525014557
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,50,500,40,40,1800,44,41,1.9918720106173222,0.07853153729308893,41.629158096249725,1.015345319420725
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,50,500,40,40,1746,44,41,2.0198880188681674,0.0778447106281977,44.93507300638678,1.0959773903996775
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,50,500,40,40,999,43,40,2.05972800156408,0.11002697371011075,32.872828296723256,0.8218207074180814
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,50,500,40,40,221,32,29,1.726144565326719,0.28414877774188246,25.321693572929632,0.8731618473424011
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,50,500,40,40,55,19,16,1.339439446153641,0.8378063572893988,9.200316370776202,0.5750197731735126
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,50,500,40,40,228,28,25,1.7493677894386135,0.26208979188879344,31.306838371379733,1.2522735348551892
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,60,500,40,40,1583,43,40,2.0338429994388814,0.088973660623092,40.302917953407935,1.0075729488351983
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,60,500,40,40,1562,43,40,1.9789953565173257,0.08256048105487579,43.64166317364751,1.0910415793411876
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,60,500,40,40,893,42,39,2.0354103629413767,0.11796021151898138,32.600496531156914,0.8359101674655619
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,60,500,40,40,196,31,28,1.770016764684979,0.32759404681322524,25.181999064745636,0.8993571094552013
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,60,500,40,40,50,18,15,0.9260768178139943,0.6272020484809061,9.028715903101919,0.6019143935401279
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,60,500,40,40,207,27,24,1.629927516354258,0.2588546690360816,29.953669714372328,1.2480695714321803
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,70,500,40,40,1421,42,39,1.9808144220332704,0.09395005135119505,38.889470528072835,0.9971659109762265
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,70,500,40,40,1350,42,39,2.070108580650313,0.09696119865630637,36.71065596464354,0.941298870888296
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,70,500,40,40,795,41,38,2.027377391209959,0.12825297492891283,32.574728725775564,0.8572297033098832
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,70,500,40,40,180,30,27,1.582608069677195,0.30746852617621334,23.610978896899923,0.8744806998851823
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,70,500,40,40,41,17,14,2.2959171640856737,2.9810154594761356,6.739637417447287,0.4814026726748062
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,70,500,40,40,182,26,23,1.6557637087790504,0.2928326794462662,29.876593377592478,1.2989823207648903
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,80,500,40,40,1251,41,38,2.0268446484622964,0.10743889319650375,37.914025912904,0.9977375240237896
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,80,500,40,40,1207,41,38,2.0435910019545434,0.1038542684257396,36.33184491068377,0.9561011818600992
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,80,500,40,40,694,40,37,2.0992072921392184,0.14799923153413452,30.496114629029236,0.8242193142980875
